1000
87	72
45	177
199	9
166	29
66	50
29	127
143	35
86	163
174	46
15	27
125	91
178	133
94	131
30	42
173	112
135	155
194	128
187	185
107	30
103	167
153	155
83	128
144	21
198	43
96	193
2	182
178	51
120	98
127	54
37	108
169	95
20	27
169	69
149	193
119	184
179	180
23	145
144	85
107	163
138	51
191	133
83	187
32	48
157	21
24	26
186	140
198	71
156	88
36	122
89	150
124	167
22	18
196	43
65	166
199	160
68	192
91	131
47	158
171	192
168	194
160	37
135	58
166	115
38	122
111	14
57	97
47	97
116	5
164	13
134	38
125	183
153	47
121	200
61	32
114	101
132	40
55	90
126	165
90	84
105	83
53	23
9	133
179	83
24	91
87	133
172	166
2	32
74	74
82	10
150	49
6	89
142	122
102	88
186	136
63	3
169	138
108	94
11	95
139	42
54	152
43	123
31	121
121	111
171	110
90	29
40	7
144	38
174	109
100	101
147	100
57	82
146	88
133	51
181	182
155	152
27	168
49	137
123	195
95	81
58	175
123	139
161	32
80	195
48	42
123	42
3	166
48	183
167	15
114	139
109	113
92	138
51	15
96	49
48	72
163	195
114	130
94	132
111	107
186	32
19	68
77	186
164	123
43	100
66	29
165	22
109	199
165	154
178	39
48	23
49	123
107	76
99	19
53	173
76	20
56	188
56	197
127	69
184	146
164	82
109	57
173	164
111	4
195	178
152	182
99	21
91	182
170	143
71	149
163	62
158	77
124	120
188	194
32	124
95	57
66	137
71	84
66	198
23	157
129	17
44	99
176	17
125	137
118	54
88	17
74	145
179	99
167	68
95	192
115	78
101	95
132	164
163	37
48	141
89	6
127	156
69	90
47	15
185	126
131	186
65	46
140	103
185	184
97	186
158	117
25	117
42	153
14	148
200	161
169	55
79	113
38	31
145	179
21	54
91	193
110	86
84	105
183	158
66	54
104	60
113	179
82	132
32	5
10	156
149	62
60	51
89	168
24	1
14	85
19	172
59	22
4	171
182	76
91	115
193	136
121	73
26	88
134	102
198	175
1	22
167	80
55	63
150	90
151	184
70	112
19	21
14	67
30	83
54	10
125	162
15	83
178	127
34	72
78	92
144	44
180	5
124	7
50	95
44	152
36	25
169	104
118	82
14	104
65	31
24	99
138	175
54	147
176	55
171	50
143	82
70	77
131	27
114	130
28	199
29	89
111	147
67	41
51	85
9	43
152	162
11	119
200	125
100	82
183	124
14	165
65	184
87	52
160	94
61	79
5	149
72	60
159	66
179	159
24	44
176	48
47	80
18	193
37	29
186	63
69	131
131	139
133	9
108	36
64	132
20	171
102	16
178	53
38	133
148	24
103	131
136	156
73	140
192	103
21	163
92	33
149	155
146	113
59	64
48	67
38	72
52	117
93	67
78	48
135	132
139	83
